2026-08-08 20:35:43,311 | INFO | MainThread | epoch 13 dev metrics (tuned thresholds): st1_macro_f1=0.609, st2_macro_f1=0.400, st3_macro_f1=0.257, st3_family_macro_f1=0.403, mean_macro_f1=0.422
2026-08-08 20:35:43,345 | INFO | MainThread | epoch 13: new best mean_macro_f1=0.422, saved to runs/last_layer_roberta/best
2026-08-08 20:36:30,415 | INFO | MainThread | epoch 14: mean train loss = 0.9450
2026-08-08 20:36:38,518 | INFO | MainThread | epoch 14 dev metrics (tuned thresholds): st1_macro_f1=0.610, st2_macro_f1=0.413, st3_macro_f1=0.272, st3_family_macro_f1=0.414, mean_macro_f1=0.432
2026-08-08 20:36:38,552 | INFO | MainThread | epoch 14: new best mean_macro_f1=0.432, saved to runs/last_layer_roberta/best
2026-08-08 20:37:24,229 | INFO | MainThread | epoch 15: mean train loss = 0.9001
2026-08-08 20:37:33,438 | INFO | MainThread | epoch 15 dev metrics (tuned thresholds): st1_macro_f1=0.609, st2_macro_f1=0.438, st3_macro_f1=0.289, st3_family_macro_f1=0.455, mean_macro_f1=0.445
2026-08-08 20:37:33,474 | INFO | MainThread | epoch 15: new best mean_macro_f1=0.445, saved to runs/last_layer_roberta/best
2026-08-08 20:38:19,165 | INFO | MainThread | epoch 16: mean train loss = 0.8833
2026-08-08 20:38:27,249 | INFO | MainThread | epoch 16 dev metrics (tuned thresholds): st1_macro_f1=0.624, st2_macro_f1=0.449, st3_macro_f1=0.308, st3_family_macro_f1=0.458, mean_macro_f1=0.460
2026-08-08 20:38:27,288 | INFO | MainThread | epoch 16: new best mean_macro_f1=0.460, saved to runs/last_layer_roberta/best
2026-08-08 20:39:14,304 | INFO | MainThread | epoch 17: mean train loss = 0.8642
2026-08-08 20:39:22,443 | INFO | MainThread | epoch 17 dev metrics (tuned thresholds): st1_macro_f1=0.622, st2_macro_f1=0.459, st3_macro_f1=0.339, st3_family_macro_f1=0.460, mean_macro_f1=0.474
2026-08-08 20:39:22,477 | INFO | MainThread | epoch 17: new best mean_macro_f1=0.474, saved to runs/last_layer_roberta/best
2026-08-08 20:40:09,436 | INFO | MainThread | epoch 18: mean train loss = 0.8340
2026-08-08 20:40:17,378 | INFO | MainThread | epoch 18 dev metrics (tuned thresholds): st1_macro_f1=0.614, st2_macro_f1=0.472, st3_macro_f1=0.360, st3_family_macro_f1=0.469, mean_macro_f1=0.482
2026-08-08 20:40:17,411 | INFO | MainThread | epoch 18: new best mean_macro_f1=0.482, saved to runs/last_layer_roberta/best
2026-08-08 20:41:03,148 | INFO | MainThread | epoch 19: mean train loss = 0.8255
2026-08-08 20:41:12,455 | INFO | MainThread | epoch 19 dev metrics (tuned thresholds): st1_macro_f1=0.662, st2_macro_f1=0.472, st3_macro_f1=0.339, st3_family_macro_f1=0.458, mean_macro_f1=0.491
2026-08-08 20:41:12,493 | INFO | MainThread | epoch 19: new best mean_macro_f1=0.491, saved to runs/last_layer_roberta/best
2026-08-08 20:41:58,317 | INFO | MainThread | epoch 20: mean train loss = 0.7925
2026-08-08 20:42:06,297 | INFO | MainThread | epoch 20 dev metrics (tuned thresholds): st1_macro_f1=0.624, st2_macro_f1=0.484, st3_macro_f1=0.361, st3_family_macro_f1=0.498, mean_macro_f1=0.490
2026-08-08 20:42:53,267 | INFO | MainThread | epoch 21: mean train loss = 0.7955
2026-08-08 20:43:01,252 | INFO | MainThread | epoch 21 dev metrics (tuned thresholds): st1_macro_f1=0.609, st2_macro_f1=0.497, st3_macro_f1=0.378, st3_family_macro_f1=0.490, mean_macro_f1=0.495
2026-08-08 20:43:01,284 | INFO | MainThread | epoch 21: new best mean_macro_f1=0.495, saved to runs/last_layer_roberta/best
2026-08-08 20:43:48,258 | INFO | MainThread | epoch 22: mean train loss = 0.7564
2026-08-08 20:43:56,274 | INFO | MainThread | epoch 22 dev metrics (tuned thresholds): st1_macro_f1=0.654, st2_macro_f1=0.497, st3_macro_f1=0.410, st3_family_macro_f1=0.510, mean_macro_f1=0.520
2026-08-08 20:43:56,307 | INFO | MainThread | epoch 22: new best mean_macro_f1=0.520, saved to runs/last_layer_roberta/best
2026-08-08 20:44:42,110 | INFO | MainThread | epoch 23: mean train loss = 0.7453
2026-08-08 20:44:51,321 | INFO | MainThread | epoch 23 dev metrics (tuned thresholds): st1_macro_f1=0.619, st2_macro_f1=0.517, st3_macro_f1=0.405, st3_family_macro_f1=0.535, mean_macro_f1=0.514
2026-08-08 20:45:37,003 | INFO | MainThread | epoch 24: mean train loss = 0.7267
