2026-08-04 14:32:51,993 | INFO | MainThread | epoch 15: mean train loss = 0.6122
2026-08-04 14:33:01,845 | INFO | MainThread | epoch 15 dev metrics: st1_macro_f1=0.616, st2_macro_f1=0.521, st3_macro_f1=0.234, st3_family_macro_f1=0.422, mean_macro_f1=0.457
2026-08-04 14:33:01,891 | INFO | MainThread | epoch 15: new best mean_macro_f1=0.457, saved to runs/lora_roberta/best
2026-08-04 14:34:44,858 | INFO | MainThread | epoch 16: mean train loss = 0.5716
2026-08-04 14:34:54,752 | INFO | MainThread | epoch 16 dev metrics: st1_macro_f1=0.596, st2_macro_f1=0.509, st3_macro_f1=0.158, st3_family_macro_f1=0.340, mean_macro_f1=0.421
2026-08-04 14:36:37,628 | INFO | MainThread | epoch 17: mean train loss = 0.5410
2026-08-04 14:36:47,571 | INFO | MainThread | epoch 17 dev metrics: st1_macro_f1=0.667, st2_macro_f1=0.538, st3_macro_f1=0.285, st3_family_macro_f1=0.453, mean_macro_f1=0.497
2026-08-04 14:36:47,621 | INFO | MainThread | epoch 17: new best mean_macro_f1=0.497, saved to runs/lora_roberta/best
2026-08-04 14:38:30,471 | INFO | MainThread | epoch 18: mean train loss = 0.5166
2026-08-04 14:38:40,328 | INFO | MainThread | epoch 18 dev metrics: st1_macro_f1=0.645, st2_macro_f1=0.532, st3_macro_f1=0.212, st3_family_macro_f1=0.380, mean_macro_f1=0.463
2026-08-04 14:40:23,149 | INFO | MainThread | epoch 19: mean train loss = 0.5046
2026-08-04 14:40:33,010 | INFO | MainThread | epoch 19 dev metrics: st1_macro_f1=0.650, st2_macro_f1=0.564, st3_macro_f1=0.262, st3_family_macro_f1=0.442, mean_macro_f1=0.492
2026-08-04 14:42:15,936 | INFO | MainThread | epoch 20: mean train loss = 0.4796
2026-08-04 14:42:25,754 | INFO | MainThread | epoch 20 dev metrics: st1_macro_f1=0.630, st2_macro_f1=0.574, st3_macro_f1=0.325, st3_family_macro_f1=0.492, mean_macro_f1=0.510
